time,flux,h,injection_area,pp_0,pp_inf,tidal_head,wellPP
0,0,1012.5697111441,12.566370614359,0,0,0,0
1,0,1012.5697111441,12.566370614359,10125693.7283,10125693.714403,-1.4544410382007e-10,10125697.111441
2.1,-0.46195864833203,1012.5697111441,12.566370614359,10125701.187103,10125690.292069,-3.0543261435009e-10,10125697.111441
3.31,-0.051866453564515,1012.5652628713,12.566370614359,10125701.529898,10125686.641414,-4.814199667457e-10,10125652.628713
4.641,0.021692267998101,1012.564713498,12.566370614359,10125657.494695,10125682.691641,-6.7500603694961e-10,10125647.13498
6.1051,-0.02424183694531,1012.5649662407,12.566370614359,10125651.618683,10125678.388893,-8.8795068467744e-10,10125649.662407
7.71561,-0.032369903794983,1012.5646555474,12.566370614359,10125654.070465,10125673.683183,-1.1221897503008e-09,10125646.555474
9.487171,-0.025256190729468,1012.5641991948,12.566370614359,10125651.005068,10125668.524946,-1.3798526508756e-09,10125641.991948
11.4358881,-0.022893088831646,1012.5638075255,12.566370614359,10125646.448975,10125662.86314,-1.6632817350412e-09,10125638.075255
13.57947691,-0.022831600769713,1012.5634170005,12.566370614359,10125642.524908,10125656.643855,-1.9750535724212e-09,10125634.170005
15.937424601,-0.022419022854953,1012.5629885768,12.566370614359,10125638.616604,10125649.809199,-2.3180023706367e-09,10125629.885768
18.5311670611,-0.021848855378743,1012.5625258268,12.566370614359,10125634.331525,10125642.296355,-2.6952457322324e-09,10125625.258268
21.38428376721,-0.021432855967772,1012.5620297474,12.566370614359,10125629.702829,10125634.036752,-3.1102129848979e-09,10125620.297474
24.522712143931,-0.021135272683091,1012.5614944499,12.566370614359,10125624.740616,10125624.955282,-3.566676341488e-09,10125614.944499
27.974983358324,-0.020901461953215,1012.5609137982,12.566370614359,10125619.38628,10125614.969528,-4.0687851717294e-09,10125609.137982
31.772481694157,-0.020724618236428,1012.5602821472,12.566370614359,10125613.578411,10125603.988957,-4.6211036953111e-09,10125602.821472
35.949729863572,-0.020604615698366,1012.5595932098,12.566370614359,10125607.260492,10125591.914076,-5.2286524365364e-09,10125595.932098
40.544702849929,-0.020537364722281,1012.5588397667,12.566370614359,10125600.36963,10125578.635512,-5.8969538140733e-09,10125588.397667
45.599173134922,-0.020519177162959,1012.5580136844,12.566370614359,10125592.833615,10125564.033017,-6.6320822758114e-09,10125580.136844
51.159090448415,-0.020547982745548,1012.5571057987,12.566370614359,10125584.571095,10125547.974375,-7.4407194286655e-09,10125571.057987
57.274999493256,-0.020622434742772,1012.5561057223,12.566370614359,10125575.490408,10125530.314206,-8.3302146565827e-09,10125561.057223
64.002499442582,-0.020741562432416,1012.5550016524,12.566370614359,10125565.487668,10125510.892656,-9.3086517672546e-09,10125550.016524
71.40274938684,-0.02090472915253,1012.5537801599,12.566370614359,10125554.444831,10125489.533957,-1.0384922259302e-08,10125537.801599
79.543024325524,-0.021111489988766,1012.5524259482,12.566370614359,10125542.227592,10125466.044846,-1.1568805857179e-08,10125524.259482
88.497326758076,-0.021361512378882,1012.5509215819,12.566370614359,10125528.682974,10125440.21283,-1.2871059020821e-08,10125509.215819
98.347059433884,-0.021654537164015,1012.5492471812,12.566370614359,10125513.636613,10125411.804281,-1.4303512201197e-08,10125492.471812
109.18176537727,-0.021990207813473,1012.5473800752,12.566370614359,10125496.8897,10125380.56235,-1.5879176681274e-08,10125473.800752
121.099941915,-0.022368085405021,1012.545294422,12.566370614359,10125478.21552,10125346.204669,-1.7612361914172e-08,10125452.94422
134.2099361065,-0.022787536272764,1012.5429607799,12.566370614359,10125457.355649,10125308.420845,-1.9518804345923e-08,10125429.607799
148.63092971715,-0.023247681074202,1012.5403456366,12.566370614359,10125434.015667,10125266.869697,-2.1615808788268e-08,10125403.456366
164.49402268886,-0.019678913719917,1012.537410891,12.566370614359,10125407.886576,10125243.977563,-2.3922403485905e-08,10125374.10891
181.94342495775,-0.018786538372902,1012.5346782372,12.566370614359,10125378.543037,10125218.806176,-2.6459510100285e-08,10125346.782372
201.13776745353,-0.018825457143282,1012.5318086267,12.566370614359,10125351.215028,10125191.128971,-2.925012990538e-08,10125318.086267
222.25154419888,-0.018640333825113,1012.5286455159,12.566370614359,10125322.519396,10125160.697079,-3.2319547555297e-08,10125286.455159
245.47669861877,-0.018355052347297,1012.5252003096,12.566370614359,10125290.889532,10125127.237146,-3.5695553832918e-08,10125252.003096
271.02436848064,-0.018145903654249,1012.5214685825,12.566370614359,10125256.438285,10125090.448988,-3.9408688814333e-08,10125214.685825
