time,flux,h,injection_area,pp_0,pp_inf,tidal_head,wellPP
0,0,101.02317156578,1.2566370614359,0,0,0,0
1,0,101.02317156578,1.2566370614359,1010231.7381208,1010231.9146869,1.4544410382007e-12,1010231.7156578
2.1,-0.00010364198231143,101.02317156578,1.2566370614359,1010231.7147835,1010231.9189103,3.0543261435009e-12,1010231.7156578
3.31,-8.9803468656647e-05,101.02317031168,1.2566370614359,1010231.7149723,1010231.923556,4.814199667457e-12,1010231.7031168
4.641,-8.34022154679e-05,101.02316911636,1.2566370614359,1010231.7025814,1010231.9286662,6.7500603694961e-12,1010231.6911636
6.1051,-7.9153063406232e-05,101.02316789523,1.2566370614359,1010231.6907434,1010231.9342874,8.8795068467744e-12,1010231.6789523
7.71561,-7.5864627202236e-05,101.02316662042,1.2566370614359,1010231.6786311,1010231.9404708,1.1221897503008e-11,1010231.6662042
9.487171,-7.3108403521314e-05,101.02316527639,1.2566370614359,1010231.6659735,1010231.9472725,1.3798526508756e-11,1010231.6527639
11.4358881,-7.0678865832175e-05,101.02316385168,1.2566370614359,1010231.6526188,1010231.9547543,1.6632817350412e-11,1010231.6385168
13.57947691,-6.8460589020613e-05,101.02316233657,1.2566370614359,1010231.6384551,1010231.9629843,1.9750535724212e-11,1010231.6233657
15.937424601,-6.6381606002054e-05,101.02316072225,1.2566370614359,1010231.6233869,1010231.9720374,2.3180023706367e-11,1010231.6072225
18.5311670611,-6.4393445911777e-05,101.02315900044,1.2566370614359,1010231.6073275,1010231.9819957,2.6952457322324e-11,1010231.5900044
21.38428376721,-6.2461397507349e-05,101.02315716316,1.2566370614359,1010231.5901948,1010231.9929498,3.1102129848979e-11,1010231.5716316
24.522712143931,-6.0559299132174e-05,101.0231552028,1.2566370614359,1010231.5719101,1010232.0049992,3.566676341488e-11,1010231.552028
27.974983358324,-5.8666564895624e-05,101.02315311206,1.2566370614359,1010231.5523979,1010232.0182536,4.0687851717294e-11,1010231.5311206
31.772481694157,-5.6766378554379e-05,101.02315088414,1.2566370614359,1010231.5315859,1010232.0328334,4.6211036953111e-11,1010231.5088414
35.949729863572,-5.4844559750912e-05,101.02314851279,1.2566370614359,1010231.5094066,1010232.048871,5.2286524365364e-11,1010231.4851279
40.544702849929,-5.2888838113541e-05,101.02314599263,1.2566370614359,1010231.4857983,1010232.0665123,5.8969538140733e-11,1010231.4599263
45.599173134922,-5.0888367275044e-05,101.0231433193,1.2566370614359,1010231.4607074,1010232.0859175,6.6320822758114e-11,1010231.433193
51.159090448415,-4.8833415026606e-05,101.02314048986,1.2566370614359,1010231.4340911,1010232.1072628,7.4407194286655e-11,1010231.4048986
57.274999493256,-4.6715166409048e-05,101.02313750317,1.2566370614359,1010231.4059203,1010232.130742,8.3302146565827e-11,1010231.3750317
64.002499442582,-4.4525601998045e-05,101.02313436031,1.2566370614359,1010231.3761841,1010232.1565682,9.3086517672546e-11,1010231.3436031
71.40274938684,-4.2257444946485e-05,101.02313106521,1.2566370614359,1010231.3448938,1010232.1849755,1.0384922259302e-10,1010231.3106521
79.543024325524,-3.9904160691893e-05,101.02312762524,1.2566370614359,1010231.312089,1010232.2162209,1.1568805857179e-10,1010231.2762524
88.497326758076,-3.7460004354971e-05,101.02312405199,1.2566370614359,1010231.2778437,1010232.2505871,1.2871059020821e-10,1010231.2405199
98.347059433884,-3.4920079841491e-05,101.02312036217,1.2566370614359,1010231.2422742,1010232.2883841,1.4303512201197e-10,1010231.2036217
109.18176537727,-3.2280481160183e-05,101.02311657857,1.2566370614359,1010231.2055478,1010232.329952,1.5879176681274e-10,1010231.1657857
121.099941915,-2.9538410919093e-05,101.02311273121,1.2566370614359,1010231.1678925,1010232.3756637,1.7612361914172e-10,1010231.1273121
134.2099361065,-2.6692368749442e-05,101.02310885862,1.2566370614359,1010231.1296087,1010232.4259276,1.9518804345923e-10,1010231.0885862
148.63092971715,-2.3742357577064e-05,101.0231050092,1.2566370614359,1010231.0910813,1010232.4811903,2.1615808788268e-10,1010231.050092
164.49402268886,-2.0690093990034e-05,101.02310124282,1.2566370614359,1010231.0527946,1010232.5419397,2.3922403485905e-10,1010231.0124282
181.94342495775,-1.7539259860574e-05,101.02309763241,1.2566370614359,1010231.0153467,1010232.6087076,2.6459510100285e-10,1010230.9763241
201.13776745353,-1.4295756015048e-05,101.02309426577,1.2566370614359,1010230.9794665,1010232.6820728,2.925012990538e-10,1010230.9426577
