time,flux,h,injection_area,pp_0,pp_inf,tidal_head,wellPP
0,0,101.02317156578,1.2566370614359,0,0,0,0
1,0,101.02317156578,1.2566370614359,1010231.7198875,1010231.9146869,1.4544410382007e-12,1010231.7156578
2.1,-2.9980926083055e-07,101.02317156578,1.2566370614359,1010231.7156561,1010231.9189101,3.0543261435009e-12,1010231.7156578
3.31,-1.0998744770439e-07,101.02317156215,1.2566370614359,1010231.7156568,1010231.9235557,4.814199667457e-12,1010231.7156215
4.641,-9.6724047230523e-08,101.02317156069,1.2566370614359,1010231.7156207,1010231.9286657,6.7500603694961e-12,1010231.7156069
6.1051,-8.851736938945e-08,101.02317155927,1.2566370614359,1010231.7156061,1010231.9342868,8.8795068467744e-12,1010231.7155927
7.71561,-8.2594014086497e-08,101.02317155785,1.2566370614359,1010231.715592,1010231.94047,1.1221897503008e-11,1010231.7155785
9.487171,-7.7924379577476e-08,101.02317155638,1.2566370614359,1010231.7155778,1010231.9472716,1.3798526508756e-11,1010231.7155638
11.4358881,-7.4046768916571e-08,101.02317155486,1.2566370614359,1010231.7155633,1010231.9547532,1.6632817350412e-11,1010231.7155486
13.57947691,-7.0712778613921e-08,101.02317155328,1.2566370614359,1010231.7155481,1010231.9629831,1.9750535724212e-11,1010231.7155328
15.937424601,-6.7772898441826e-08,101.02317155161,1.2566370614359,1010231.7155323,1010231.9720359,2.3180023706367e-11,1010231.7155161
18.5311670611,-6.5137305230218e-08,101.02317154985,1.2566370614359,1010231.7155157,1010231.981994,2.6952457322324e-11,1010231.7154985
21.38428376721,-6.273314565875e-08,101.02317154799,1.2566370614359,1010231.7154981,1010231.9929478,3.1102129848979e-11,1010231.7154799
24.522712143931,-6.0513898932502e-08,101.02317154602,1.2566370614359,1010231.7154796,1010232.0049971,3.566676341488e-11,1010231.7154602
27.974983358324,-5.8443577266723e-08,101.02317154394,1.2566370614359,1010231.7154599,1010232.0182513,4.0687851717294e-11,1010231.7154394
