time,flux,h,injection_area,pp_0,pp_inf,tidal_head,wellPP
0,0,101.02318629327,1.2566370614359,0,0,0,0
1,0,101.02318629327,1.2566370614359,1010231.8700623,1010231.9185321,1.4544410382007e-12,1010231.8629327
2.1,-3.9488444724226e-05,101.02318629327,1.2566370614359,1010231.8625678,1010231.9260721,3.0543261435009e-12,1010231.8629327
3.31,-3.3583652096197e-05,101.02318581545,1.2566370614359,1010231.8626258,1010231.9343662,4.814199667457e-12,1010231.8581545
4.641,-3.1206395295624e-05,101.02318536843,1.2566370614359,1010231.857884,1010231.9434896,6.7500603694961e-12,1010231.8536843
6.1051,-2.9671082667119e-05,101.02318491153,1.2566370614359,1010231.8534428,1010231.9535253,8.8795068467744e-12,1010231.8491153
7.71561,-2.8496970364057e-05,101.02318443366,1.2566370614359,1010231.8489,1010231.9645646,1.1221897503008e-11,1010231.8443366
9.487171,-2.7517868551965e-05,101.0231839288,1.2566370614359,1010231.8441464,1010231.9767078,1.3798526508756e-11,1010231.839288
11.4358881,-2.6656459377101e-05,101.02318339254,1.2566370614359,1010231.8391226,1010231.9900652,1.6632817350412e-11,1010231.8339254
13.57947691,-2.5870195915215e-05,101.02318282112,1.2566370614359,1010231.8337851,1010232.0047585,1.9750535724212e-11,1010231.8282112
15.937424601,-2.5132853019066e-05,101.0231822111,1.2566370614359,1010231.8280965,1010232.020921,2.3180023706367e-11,1010231.822111
18.5311670611,-2.4426825347323e-05,101.02318155919,1.2566370614359,1010231.8220228,1010232.0386997,2.6952457322324e-11,1010231.8155919
21.38428376721,-2.3739459243765e-05,101.02318086225,1.2566370614359,1010231.8155315,1010232.0582563,3.1102129848979e-11,1010231.8086225
24.522712143931,-2.3061113493085e-05,101.02318011718,1.2566370614359,1010231.8085911,1010232.0797686,3.566676341488e-11,1010231.8011718
27.974983358324,-2.2384053647396e-05,101.02317932102,1.2566370614359,1010231.8011711,1010232.1034319,4.0687851717294e-11,1010231.7932102
31.772481694157,-2.1701792835352e-05,101.02317847097,1.2566370614359,1010231.7932421,1010232.1294616,4.6211036953111e-11,1010231.7847097
35.949729863572,-2.1008668393651e-05,101.0231775644,1.2566370614359,1010231.7847761,1010232.1580941,5.2286524365364e-11,1010231.775644
40.544702849929,-2.0299557475764e-05,101.02317659903,1.2566370614359,1010231.7757473,1010232.1895898,5.8969538140733e-11,1010231.7659903
45.599173134922,-1.9569690383584e-05,101.02317557296,1.2566370614359,1010231.766133,1010232.2242348,6.6320822758114e-11,1010231.7557296
51.159090448415,-1.8814511005046e-05,101.02317448487,1.2566370614359,1010231.7559144,1010232.2623441,7.4407194286655e-11,1010231.7448487
57.274999493256,-1.8029582602199e-05,101.02317333416,1.2566370614359,1010231.7450787,1010232.3042641,8.3302146565827e-11,1010231.7333416
64.002499442582,-1.7210509398798e-05,101.02317212119,1.2566370614359,1010231.73362,1010232.3503757,9.3086517672546e-11,1010231.7212119
71.40274938684,-1.6352890352094e-05,101.02317084753,1.2566370614359,1010231.7215423,1010232.401098,1.0384922259302e-10,1010231.7084753
79.543024325524,-1.5452269998784e-05,101.02316951632,1.2566370614359,1010231.7088616,1010232.4568917,1.1568805857179e-10,1010231.6951632
88.497326758076,-1.4504115340908e-05,101.02316813263,1.2566370614359,1010231.6956095,1010232.518264,1.2871059020821e-10,1010231.6813263
98.347059433884,-1.3503796242745e-05,101.02316670398,1.2566370614359,1010231.6818372,1010232.5857722,1.4303512201197e-10,1010231.6670398
109.18176537727,-1.244657050905e-05,101.02316524084,1.2566370614359,1010231.66762,1010232.6600295,1.5879176681274e-10,1010231.6524084
121.099941915,-1.1327586810887e-05,101.02316375739,1.2566370614359,1010231.6530632,1010232.7417104,1.7612361914172e-10,1010231.6375739
