time,flux,h,injection_area,pp_0,pp_inf,tidal_head,wellPP
0,0,101.05102220185,1.2566370614359,0,0,0,0
1,0,101.05102220185,1.2566370614359,1010504.7870823,1010503.9607187,-1.4544410382007e-10,1010510.2220185
2.1,-0.0033774507384875,101.05102220185,1.2566370614359,1010511.8248996,1010501.5403049,-3.0543261435009e-10,1010510.2220185
3.31,-0.0032333589720984,101.05098967984,1.2566370614359,1010511.8321274,1010499.4690382,-4.814199667457e-10,1010509.8967984
4.641,-0.00336383905584,101.05095543187,1.2566370614359,1010511.4955035,1010497.5499612,-6.7500603694961e-10,1010509.5543187
6.1051,-0.0035542653560791,101.05091623883,1.2566370614359,1010511.1375378,1010495.7035533,-8.8795068467744e-10,1010509.1623883
7.71561,-0.0037588432657485,101.05087068591,1.2566370614359,1010510.7292178,1010493.8867971,-1.1221897503008e-09,1010508.7068591
9.487171,-0.0039695006603603,101.05081769355,1.2566370614359,1010510.2569202,1010492.0723729,-1.3798526508756e-09,1010508.1769355
11.4358881,-0.0041824338592816,101.05075613511,1.2566370614359,1010509.7101002,1010490.2408912,-1.6632817350412e-09,1010507.5613511
13.57947691,-0.0043941500601637,101.05068478847,1.2566370614359,1010509.0777397,1010488.377375,-1.9750535724212e-09,1010506.8478847
15.937424601,-0.0046010866150973,101.05060233442,1.2566370614359,1010508.3478833,1010486.4694489,-2.3180023706367e-09,1010506.0233442
18.5311670611,-0.0047997677992541,101.0505073636,1.2566370614359,1010507.5076044,1010484.5063145,-2.6952457322324e-09,1010505.073636
21.38428376721,-0.0049869808291905,101.05039838462,1.2566370614359,1010506.5430586,1010482.4781257,-3.1102129848979e-09,1010503.9838462
24.522712143931,-0.0051598697143088,101.050273832,1.2566370614359,1010505.4395555,1010480.3755831,-3.566676341488e-09,1010502.73832
27.974983358324,-0.0053159505741946,101.05013207433,1.2566370614359,1010504.1816355,1010478.1896552,-4.0687851717294e-09,1010501.3207433
31.772481694157,-0.0054530920893497,101.04997142405,1.2566370614359,1010502.7531524,1010475.9113754,-4.6211036953111e-09,1010499.7142405
35.949729863572,-0.00556947752618,101.04979014983,1.2566370614359,1010501.1373742,1010473.5316883,-5.2286524365364e-09,1010497.9014983
40.544702849929,-0.0056635721174329,101.04958649235,1.2566370614359,1010499.3171087,1010471.0413242,-5.8969538140733e-09,1010495.8649235
45.599173134922,-0.0057341026890149,101.04935868432,1.2566370614359,1010497.274863,1010468.4306944,-6.6320822758114e-09,1010493.5868432
51.159090448415,-0.0057800609556537,101.04910497481,1.2566370614359,1010494.993044,1010465.689798,-7.4407194286655e-09,1010491.0497481
57.274999493256,-0.0058007154676725,101.04882365755,1.2566370614359,1010492.4542001,1010462.808136,-8.3302146565827e-09,1010488.2365755
64.002499442582,-0.0057956465899459,101.04851310278,1.2566370614359,1010489.6413017,1010459.7746293,-9.3086517672546e-09,1010485.1310278
71.40274938684,-0.0057647872108146,101.04817179104,1.2566370614359,1010486.5380569,1010456.5775376,-1.0384922259302e-08,1010481.7179104
79.543024325524,-0.0057084735626886,101.0477983472,1.2566370614359,1010483.1292449,1010453.2043778,-1.1568805857179e-08,1010477.983472
88.497326758076,-0.0056274996004678,101.04739157178,1.2566370614359,1010479.4010526,1010449.6418407,-1.2871059020821e-08,1010473.9157178
98.347059433884,-0.0055231622045404,101.04695046589,1.2566370614359,1010475.3413837,1010445.8757029,-1.4303512201197e-08,1010469.5046589
108.34705943388,-0.0053284414696585,101.04651093364,1.2566370614359,1010470.9454555,1010442.1879286,-1.5757788812985e-08,1010465.1093364
118.34705943388,-0.0051266443870263,101.04608689724,1.2566370614359,1010466.5658599,1010438.6188292,-1.7212032090772e-08,1010460.8689724
128.34705943388,-0.0049475180873518,101.04567891981,1.2566370614359,1010462.3394813,1010435.1545132,-1.8666238958255e-08,1010456.7891981
138.34705943388,-0.004789337928319,101.04528519721,1.2566370614359,1010458.2720672,1010431.7835545,-2.0120406339206e-08,1010452.8519721
148.34705943388,-0.0046475144011975,101.04490406257,1.2566370614359,1010454.3459278,1010428.4964306,-2.1574531157482e-08,1010449.0406257
158.34705943388,-0.0045188607507823,101.04453421422,1.2566370614359,1010450.5446406,1010425.2851133,-2.302861033703e-08,1010445.3421422
168.34705943388,-0.0044013142672628,101.0441746041,1.2566370614359,1010446.8553495,1010422.1427636,-2.4482640801893e-08,1010441.746041
178.34705943388,-0.0042934117516797,101.04382434831,1.2566370614359,1010443.2676877,1010419.0635025,-2.5936619476217e-08,1010438.2434831
188.34705943388,-0.0041940126428781,101.04348267938,1.2566370614359,1010439.7729049,1010416.0422342,-2.7390543284259e-08,1010434.8267938
198.34705943388,-0.0041021752803862,101.04314892061,1.2566370614359,1010436.3633999,1010413.0745093,-2.884440915039e-08,1010431.4892061
208.34705943388,-0.0040171002040506,101.04282247025,1.2566370614359,1010433.0324679,1010410.1564162,-3.0298213999105e-08,1010428.2247025
218.34705943388,-0.0039380966356577,101.04250279014,1.2566370614359,1010429.7741453,1010407.2844957,-3.1751954755027e-08,1010425.0279014
228.34705943388,-0.0038645607949765,101.04218939713,1.2566370614359,1010426.5830976,1010404.4556714,-3.3205628342915e-08,1010421.8939713
238.34705943388,-0.0037959643649422,101.04188185608,1.2566370614359,1010423.4545345,1010401.6671935,-3.4659231687671e-08,1010418.8185608
248.34705943388,-0.0037318396986284,101.04157977393,1.2566370614359,1010420.3841412,1010398.9165929,-3.6112761714345e-08,1010415.7977393
258.34705943388,-0.003671773976938,101.0412827948,1.2566370614359,1010417.3680192,1010396.2016429,-3.7566215348142e-08,1010412.827948
268.34705943388,-0.0036153994714199,101.04099059569,1.2566370614359,1010414.4026387,1010393.5203273,-3.9019589514427e-08,1010409.9059569
278.34705943388,-0.003562389274889,101.04070288286,1.2566370614359,1010411.4847951,1010390.8708146,-4.0472881138736e-08,1010407.0288286
288.34705943388,-0.0035124515340182,101.04041938857,1.2566370614359,1010408.6115736,1010388.2514347,-4.1926087146778e-08,1010404.1938857
298.34705943388,-0.0034653249178032,101.04013986831,1.2566370614359,1010405.7803176,1010385.6606605,-4.3379204464444e-08,1010401.3986831
308.34705943388,-0.0034207758462104,101.03986409838,1.2566370614359,1010402.9886002,1010383.0970913,-4.4832230017811e-08,1010398.6409838
318.34705943388,-0.003378593209628,101.03959187366,1.2566370614359,1010400.2342007,1010380.5594393,-4.6285160733151e-08,1010395.9187366
328.34705943388,-0.0033385877696545,101.03932300583,1.2566370614359,1010397.5150828,1010378.0465171,-4.7737993536937e-08,1010393.2300583
