time,flux,h,injection_area,pp_0,pp_inf,tidal_head,wellPP
49987.636992375,-0.0010268273399466,100.95808188095,1.2566370614359,1009586.7222966,1009577.7620302,-8.3449837457703e-07,1009580.8188095
50037.636992375,-0.0010159247662403,100.95767330728,1.2566370614359,1009582.5942522,1009573.7208565,-8.3848333386326e-07,1009576.7330728
50087.636992375,-0.0010049685256769,100.95726907174,1.2566370614359,1009578.5093794,1009569.7233557,-8.4242395018002e-07,1009572.6907174
50137.636992375,-0.00099395944217185,100.95686919567,1.2566370614359,1009574.467892,1009565.769737,-8.4632001512888e-07,1009568.6919567
50187.636992375,-0.00098289845199264,100.95647370011,1.2566370614359,1009570.4700037,1009561.8602073,-8.5017132266747e-07,1009564.7370011
50237.636992375,-0.00097178592964634,100.95608260571,1.2566370614359,1009566.5159246,1009557.9949712,-8.5397766912041e-07,1009560.8260571
50287.636992375,-0.00096062359786527,100.95569593297,1.2566370614359,1009562.6058611,1009554.1742307,-8.5773885319007e-07,1009556.9593297
50337.636992375,-0.00094941052038188,100.95531370171,1.2566370614359,1009558.7400183,1009550.3981859,-8.6145467596722e-07,1009553.1370171
50387.636992375,-0.0009381475211116,100.95493593213,1.2566370614359,1009554.9185944,1009546.6670341,-8.6512494094157e-07,1009549.3593213
50437.636992375,-0.00092683542396992,100.95456264408,1.2566370614359,1009551.1417913,1009542.9809705,-8.6874945401211e-07,1009545.6264408
50487.636992375,-0.00091547445366105,100.95419385711,1.2566370614359,1009547.4098074,1009539.3401878,-8.7232802349744e-07,1009541.9385711
50537.636992375,-0.00090406625801591,100.95382959065,1.2566370614359,1009543.7228382,1009535.7448764,-8.7586046014585e-07,1009538.2959065
50587.636992375,-0.00089261113664013,100.95346986351,1.2566370614359,1009540.0810779,1009532.195224,-8.7934657714536e-07,1009534.6986351
50637.636992375,-0.00088110856522386,100.95311469435,1.2566370614359,1009536.4847146,1009528.6914164,-8.827861901336e-07,1009531.1469435
50687.636992375,-0.00086956045375295,100.95276410205,1.2566370614359,1009532.9339349,1009525.2336364,-8.8617911720755e-07,1009527.6410205
50737.636992375,-0.0008579668396781,100.95241810473,1.2566370614359,1009529.4289275,1009521.8220649,-8.8952517893314e-07,1009524.1810473
50787.636992375,-0.00084632835966126,100.9520767205,1.2566370614359,1009525.9698736,1009518.4568799,-8.928241983548e-07,1009520.767205
50837.636992375,-0.00083464598742071,100.95173996722,1.2566370614359,1009522.5569541,1009515.1382572,-8.9607600100475e-07,1009517.3996722
50887.636992375,-0.00082291949825222,100.95140786234,1.2566370614359,1009519.1903476,1009511.8663701,-8.9928041491227e-07,1009514.0786234
50937.636992375,-0.00081114975352197,100.95108042341,1.2566370614359,1009515.8702287,1009508.6413895,-9.0243727061278e-07,1009510.8042341
50987.636992375,-0.0007993388130186,100.95075766766,1.2566370614359,1009512.5967728,1009505.4634835,-9.0554640115679e-07,1009507.5766766
51037.636992375,-0.00078748514126331,100.95043961148,1.2566370614359,1009509.3701521,1009502.3328182,-9.0860764211876e-07,1009504.3961148
51087.636992375,-0.00077559087294615,100.95012627185,1.2566370614359,1009506.1905303,1009499.2495567,-9.1162083160578e-07,1009501.2627185
51137.636992375,-0.00076365593316572,100.94981766495,1.2566370614359,1009503.0580775,1009496.21386,-9.1458581026611e-07,1009498.1766495
51187.636992375,-0.00075168125818958,100.94951380694,1.2566370614359,1009499.9729551,1009493.2258863,-9.1750242129763e-07,1009495.1380694
51237.636992375,-0.00073966733487688,100.94921471365,1.2566370614359,1009496.9353249,1009490.2857914,-9.2037051045616e-07,1009492.1471365
51287.636992375,-0.00072761506204448,100.94892040069,1.2566370614359,1009493.945345,1009487.3937287,-9.2318992606354e-07,1009489.2040069
51337.636992375,-0.00071552522615715,100.94863088332,1.2566370614359,1009491.0031715,1009484.5498487,-9.2596051901573e-07,1009486.3088332
51387.636992375,-0.00070339763996136,100.94834617648,1.2566370614359,1009488.1089569,1009481.7542997,-9.2868214279066e-07,1009483.4617648
51437.636992375,-0.00069123297756977,100.9480662952,1.2566370614359,1009485.2628508,1009479.0072272,-9.3135465345596e-07,1009480.662952
51487.636992375,-0.00067903258720769,100.94779125422,1.2566370614359,1009482.4650031,1009476.3087743,-9.3397790967663e-07,1009477.9125422
51537.636992375,-0.00066679718043845,100.94752106777,1.2566370614359,1009479.7155614,1009473.6590815,-9.3655177272245e-07,1009475.2106777
51587.636992375,-0.00065452675726208,100.94725574978,1.2566370614359,1009477.0146677,1009471.0582867,-9.3907610647534e-07,1009472.5574978
51637.636992375,-0.00064222281570667,100.94699531418,1.2566370614359,1009474.3624615,1009468.5065251,-9.415507774366e-07,1009469.9531418
