time,flux,h,injection_area,pp_0,pp_inf,tidal_head,wellPP
0,0,101.05102220199,1.2566370614359,0,0,0,0
1,0,101.05102220199,1.2566370614359,1010508.0871195,1010504.7905019,-1.4544410382007e-10,1010510.2220199
2.1,-0.0013106118008182,101.05102220199,1.2566370614359,1010511.9762019,1010502.2859782,-3.0543261435009e-10,1010510.2220199
3.31,-0.0015134233480886,101.0510095819,1.2566370614359,1010511.9598772,1010499.7549297,-4.814199667457e-10,1010510.095819
4.641,-0.0018017631626495,101.05099355161,1.2566370614359,1010511.8107253,1010497.1074005,-6.7500603694961e-10,1010509.9355161
6.1051,-0.0021302082607577,101.05097255876,1.2566370614359,1010511.6243004,1010494.297092,-8.8795068467744e-10,1010509.7255876
7.71561,-0.0024874951937342,101.05094525714,1.2566370614359,1010511.3859606,1010491.2898136,-1.1221897503008e-09,1010509.4525714
9.487171,-0.0028710468289148,101.05091018831,1.2566370614359,1010511.0824458,1010488.0553489,-1.3798526508756e-09,1010509.1018831
11.4358881,-0.0032805574187615,101.05086566453,1.2566370614359,1010510.6991945,1010484.564375,-1.6632817350412e-09,1010508.6566453
13.57947691,-0.0037167508853599,101.05080970268,1.2566370614359,1010510.2192717,1010480.7869753,-1.9750535724212e-09,1010508.0970268
15.937424601,-0.0041810026057715,101.05073995969,1.2566370614359,1010509.6227367,1010476.6917684,-2.3180023706367e-09,1010507.3995969
18.5311670611,-0.0046751292761399,101.0506536598,1.2566370614359,1010508.8860143,1010472.2453051,-2.6952457322324e-09,1010506.536598
21.38428376721,-0.0052011554065585,101.05054751075,1.2566370614359,1010507.9811862,1010467.4115888,-3.1102129848979e-09,1010505.4751075
24.522712143931,-0.0057609970124348,101.050417609,1.2566370614359,1010506.8751772,1010462.1516501,-3.566676341488e-09,1010504.17609
27.974983358324,-0.0063560773702792,101.05025933649,1.2566370614359,1010505.5288387,1010456.4231404,-4.0687851717294e-09,1010502.5933649
31.772481694157,-0.0069869309765223,101.05006725314,1.2566370614359,1010503.895947,1010450.179923,-4.6211036953111e-09,1010500.6725314
35.949729863572,-0.0076528785503164,101.04983499033,1.2566370614359,1010501.9221552,1010443.3716502,-5.2286524365364e-09,1010498.3499033
40.544702849929,-0.0083518210172185,101.04955514973,1.2566370614359,1010499.5439432,1010435.9433148,-5.8969538140733e-09,1010495.5514973
45.599173134922,-0.0090801811984465,101.04921921123,1.2566370614359,1010496.6876114,1010427.8347717,-6.6320822758114e-09,1010492.1921123
51.159090448415,-0.0098329941045235,101.04881745207,1.2566370614359,1010493.2683531,1010418.9802212,-7.4407194286655e-09,1010488.1745207
57.274999493256,-0.010604093177623,101.04833887736,1.2566370614359,1010489.1894304,1010409.3076494,-8.3302146565827e-09,1010483.3887736
64.002499442582,-0.011386365930067,101.04777116261,1.2566370614359,1010484.3414595,1010398.7382208,-9.3086517672546e-09,1010477.7116261
71.40274938684,-0.012172019956666,101.04710060751,1.2566370614359,1010478.6018146,1010387.1856176,-1.0384922259302e-08,1010471.0060751
79.543024325524,-0.012952840595558,101.0463121021,1.2566370614359,1010471.8341459,1010374.5553191,-1.1568805857179e-08,1010463.121021
88.497326758076,-0.013720411550296,101.04538910631,1.2566370614359,1010463.8880227,1010360.7438183,-1.2871059020821e-08,1010453.8910631
98.347059433884,-0.014466305551377,101.04431364565,1.2566370614359,1010454.5987143,1010345.6377662,-1.4303512201197e-08,1010443.1364565
109.18176537727,-0.015182251835786,101.04306632616,1.2566370614359,1010443.7871335,1010329.1130414,-1.5879176681274e-08,1010430.6632616
