time,flux,h,injection_area,pp_0,pp_inf,tidal_head,wellPP
0,0,101.05102220185,1.2566370614359,0,0,0,0
1,0,101.05102220185,1.2566370614359,1010453.2669261,1010443.7445818,-1.4544410382007e-10,1010510.2220185
2.1,-0.012221584950691,101.05102220185,1.2566370614359,1010510.6708624,1010406.7897972,-3.0543261435009e-10,1010510.2220185
3.31,-0.01525213346159,101.05090451828,1.2566370614359,1010510.6002032,1010376.851989,-4.814199667457e-10,1010509.0451828
4.641,-0.017919842298704,101.05074296655,1.2566370614359,1010509.3596671,1010350.3966744,-6.7500603694961e-10,1010507.4296655
6.1051,-0.020280606373853,101.05053417743,1.2566370614359,1010507.6879343,1010326.3259279,-8.8795068467744e-10,1010505.3417743
7.71561,-0.022367658129952,101.05027425288,1.2566370614359,1010505.5504105,1010304.2797389,-1.1221897503008e-09,1010502.7425288
9.487171,-0.0241879726106,101.04995891251,1.2566370614359,1010502.907904,1010284.1790448,-1.3798526508756e-09,1010499.5891251
11.4358881,-0.025736812189537,101.04958380893,1.2566370614359,1010499.7177033,1010266.0468315,-1.6632817350412e-09,1010495.8380893
13.57947691,-0.027006888360782,101.04914477389,1.2566370614359,1010495.9364967,1010249.9252217,-1.9750535724212e-09,1010491.4477389
15.937424601,-0.027993133107974,101.048638003,1.2566370614359,1010491.522716,1010235.8346577,-2.3180023706367e-09,1010486.38003
18.5311670611,-0.028695041895244,101.04806019799,1.2566370614359,1010486.4383255,1010223.7543223,-2.6952457322324e-09,1010480.6019799
21.38428376721,-0.029117604354633,101.0474086756,1.2566370614359,1010480.650222,1010213.6146852,-3.1102129848979e-09,1010474.086756
24.522712143931,-0.029271337579761,101.04668144724,1.2566370614359,1010474.1313222,1010205.2979616,-3.566676341488e-09,1010466.8144724
27.974983358324,-0.029171689348884,101.04587727251,1.2566370614359,1010466.8613728,1010198.6442568,-4.0687851717294e-09,1010458.7727251
31.772481694157,-0.028838000216112,101.04499569173,1.2566370614359,1010458.8275107,1010193.4617762,-4.6211036953111e-09,1010449.9569173
